1.000000000000000000e+00 3.647373680719140793e+03 4.402589067824382255e+03 8.601760094015919094e+03
2.000000000000000000e+00 2.994368593388332101e+03 2.667677175124422774e+03 7.088819253864587154e+03
3.000000000000000000e+00 1.085759843641686075e+03 4.702127158601987844e+02 3.314920370887588774e+02
4.000000000000000000e+00 4.721170822159465388e+02 8.707112739445861394e+01 5.164465471205530633e+01
5.000000000000000000e+00 2.220937780302608644e+02 2.107647680098865095e+01 1.687615255010569015e+01
6.000000000000000000e+00 9.537398554101322645e+01 4.203611875925046704e+00 9.730666633905977747e+00
7.000000000000000000e+00 3.870928757006362986e+01 2.728716539659729712e+00 1.622684375279085600e+00
8.000000000000000000e+00 3.448436828954341138e+01 2.155024857455607901e+00 1.162792731333726515e+00
9.000000000000000000e+00 2.805890031836688436e+01 8.165900732051765143e-01 8.301297455872903575e-01
1.000000000000000000e+01 1.445576521767057798e+01 3.749802463075913028e-01 2.168658111168410285e-01
1.100000000000000000e+01 9.618921703730059392e+00 1.506459028544076817e-01 4.557679129245124222e-02
1.200000000000000000e+01 5.324165646791331419e+00 6.159472637144189355e-02 4.167967082149662272e-02
1.300000000000000000e+01 3.380627945364543141e+00 4.294746713245296832e-02 2.484082310534708668e-02
1.400000000000000000e+01 1.823150334951262774e+00 1.730970620596635964e-02 1.332314672238445012e-02
1.500000000000000000e+01 1.379914418583189528e+00 1.330645114969703467e-02 1.118387765725916728e-02
1.600000000000000000e+01 1.326426540134265197e+00 1.221775205558052642e-02 1.062499133675374845e-02
1.700000000000000000e+01 9.752419731655193047e-01 7.798229666365965283e-03 2.934918379864900288e-03
1.800000000000000000e+01 5.862468846971774505e-01 3.871085112740495996e-03 2.775655986622799221e-03
1.900000000000000000e+01 4.923216599403575366e-01 3.255783931722903632e-03 2.233125463845058150e-03
2.000000000000000000e+01 3.689090763649507942e-01 2.616130857583827667e-03 1.869363157383468858e-03
2.100000000000000000e+01 1.964549856070925693e-01 1.433357590794841555e-03 8.527706366830655176e-04
2.200000000000000000e+01 1.835887508385251887e-01 1.062418874658565930e-03 8.307954124021515487e-04
2.300000000000000000e+01 1.526987897033318109e-01 6.531656594284009206e-04 4.124402760366918511e-04
2.400000000000000000e+01 8.878922305704249618e-02 4.133657453877027433e-04 3.607850301107829762e-04
2.500000000000000000e+01 7.213871036153504668e-02 2.945965150201946734e-04 2.389328936473401508e-04
2.600000000000000000e+01 6.598512277148418925e-02 2.924068221390726868e-04 2.194164260736776429e-04
2.700000000000000000e+01 5.814410844448421323e-02 2.652510633348624048e-04 1.739195938605171579e-04
2.800000000000000000e+01 5.411626047910787080e-02 1.482972513870836823e-04 1.229157694573474726e-04
2.900000000000000000e+01 2.481193657869448441e-02 1.425471794775509064e-04 1.093071721238064481e-04
3.000000000000000000e+01 2.218648659335174106e-02 8.134389077850412431e-05 6.842965780800501193e-05
3.100000000000000000e+01 2.042209927477598233e-02 7.047849293052345105e-05 3.523228419691786146e-05
